,filename,sr,class,length
0,bengali (1).wav,22050,Ben,1
1,bengali (10).wav,22050,Ben,1
2,bengali (100).wav,22050,Ben,1
3,bengali (1000).wav,22050,Ben,1
4,bengali (1001).wav,22050,Ben,1
5,bengali (101).wav,22050,Ben,1
6,bengali (102).wav,22050,Ben,1
7,bengali (103).wav,22050,Ben,1
8,bengali (104).wav,22050,Ben,1
9,bengali (105).wav,22050,Ben,1
10,bengali (106).wav,22050,Ben,1
11,bengali (107).wav,22050,Ben,1
12,bengali (108).wav,22050,Ben,1
13,bengali (109).wav,22050,Ben,1
14,bengali (11).wav,22050,Ben,1
15,bengali (110).wav,22050,Ben,1
16,bengali (111).wav,22050,Ben,1
17,bengali (112).wav,22050,Ben,1
18,bengali (113).wav,22050,Ben,1
19,bengali (114).wav,22050,Ben,1
20,bengali (115).wav,22050,Ben,1
21,bengali (116).wav,22050,Ben,1
22,bengali (117).wav,22050,Ben,1
23,bengali (118).wav,22050,Ben,1
24,bengali (119).wav,22050,Ben,1
25,bengali (12).wav,22050,Ben,1
26,bengali (120).wav,22050,Ben,1
27,bengali (121).wav,22050,Ben,1
28,bengali (122).wav,22050,Ben,1
29,bengali (123).wav,22050,Ben,1
30,bengali (124).wav,22050,Ben,1
31,bengali (125).wav,22050,Ben,1
32,bengali (126).wav,22050,Ben,1
33,bengali (127).wav,22050,Ben,1
34,bengali (128).wav,22050,Ben,1
35,bengali (129).wav,22050,Ben,1
36,bengali (13).wav,22050,Ben,1
37,bengali (130).wav,22050,Ben,1
38,bengali (131).wav,22050,Ben,1
39,bengali (132).wav,22050,Ben,1
40,bengali (133).wav,22050,Ben,1
41,bengali (134).wav,22050,Ben,1
42,bengali (135).wav,22050,Ben,1
43,bengali (136).wav,22050,Ben,1
44,bengali (137).wav,22050,Ben,1
45,bengali (138).wav,22050,Ben,1
46,bengali (139).wav,22050,Ben,1
47,bengali (14).wav,22050,Ben,1
48,bengali (140).wav,22050,Ben,1
49,bengali (141).wav,22050,Ben,1
50,bengali (142).wav,22050,Ben,1
51,bengali (143).wav,22050,Ben,1
52,bengali (144).wav,22050,Ben,1
53,bengali (145).wav,22050,Ben,1
54,bengali (146).wav,22050,Ben,1
55,bengali (147).wav,22050,Ben,1
56,bengali (148).wav,22050,Ben,1
57,bengali (149).wav,22050,Ben,1
58,bengali (15).wav,22050,Ben,1
59,bengali (150).wav,22050,Ben,1
60,bengali (151).wav,22050,Ben,1
61,bengali (152).wav,22050,Ben,1
62,bengali (153).wav,22050,Ben,1
63,bengali (154).wav,22050,Ben,1
64,bengali (155).wav,22050,Ben,1
65,bengali (156).wav,22050,Ben,1
66,bengali (157).wav,22050,Ben,1
67,bengali (158).wav,22050,Ben,1
68,bengali (159).wav,22050,Ben,1
69,bengali (16).wav,22050,Ben,1
70,bengali (160).wav,22050,Ben,1
71,bengali (161).wav,22050,Ben,1
72,bengali (162).wav,22050,Ben,1
73,bengali (163).wav,22050,Ben,1
74,bengali (164).wav,22050,Ben,1
75,bengali (165).wav,22050,Ben,1
76,bengali (166).wav,22050,Ben,1
77,bengali (167).wav,22050,Ben,1
78,bengali (168).wav,22050,Ben,1
79,bengali (169).wav,22050,Ben,1
80,bengali (17).wav,22050,Ben,1
81,bengali (170).wav,22050,Ben,1
82,bengali (171).wav,22050,Ben,1
83,bengali (172).wav,22050,Ben,1
84,bengali (173).wav,22050,Ben,1
85,bengali (174).wav,22050,Ben,1
86,bengali (175).wav,22050,Ben,1
87,bengali (176).wav,22050,Ben,1
88,bengali (177).wav,22050,Ben,1
89,bengali (178).wav,22050,Ben,1
90,bengali (179).wav,22050,Ben,1
91,bengali (18).wav,22050,Ben,1
92,bengali (180).wav,22050,Ben,1
93,bengali (181).wav,22050,Ben,1
94,bengali (182).wav,22050,Ben,1
95,bengali (183).wav,22050,Ben,1
96,bengali (184).wav,22050,Ben,1
97,bengali (185).wav,22050,Ben,1
98,bengali (186).wav,22050,Ben,1
99,bengali (187).wav,22050,Ben,1
100,bengali (188).wav,22050,Ben,1
101,bengali (189).wav,22050,Ben,1
102,bengali (19).wav,22050,Ben,1
103,bengali (190).wav,22050,Ben,1
104,bengali (191).wav,22050,Ben,1
105,bengali (192).wav,22050,Ben,1
106,bengali (193).wav,22050,Ben,1
107,bengali (194).wav,22050,Ben,1
108,bengali (195).wav,22050,Ben,1
109,bengali (196).wav,22050,Ben,1
110,bengali (197).wav,22050,Ben,1
111,bengali (198).wav,22050,Ben,1
112,bengali (199).wav,22050,Ben,1
